"","country","totalCases","totalNewCases","estimate","lower","upper","population","propCurrentlyInfMid","propCurrentlyInfLow","propCurrentlyInfHigh"
"27","Costa Rica",1194,283,0.803529925111067,0.436015436277172,0.999726412245752,5094114,0.00014,0.000072,0.00042
"28","Côte d'Ivoire",3262,961,0.90876285031002,0.694750672878681,0.999991974083804,26378275,0.00008,0.000047,0.00017
"29","Croatia",2247,4,0.258766324856216,0.126946822972083,0.508705652840215,4105268,0.0000075,0.0000025,0.000026
"30","Cuba",2119,203,0.68839045487023,0.373110897221779,0.983950765360809,11326616,0.000052,0.000024,0.00016
"31","Cyprus",958,31,0.851886212461834,0.521871890542724,0.999924803900383,1207361,0.00006,0.000033,0.00016
"32","Czechia",9494,681,0.445457777763038,0.312134023940403,0.655861024916536,10708982,0.00029,0.00013,0.00068
"33","Democratic Republic of the Congo",3643,1618,0.861501975861466,0.579516902743102,0.999997806988024,89561404,0.000042,0.000023,0.0001
"34","Denmark",11811,581,0.582489280524615,0.371698503118428,0.811291504131346,5792203,0.00034,0.00016,0.0009
"35","Djibouti",4054,1784,0.863621390844153,0.602206696622262,0.999938564826743,988002,0.0042,0.0023,0.01
"36","Dominican Republic",18319,4330,0.837977182298457,0.665173227245168,0.972718164444453,10847904,0.00095,0.00053,0.002
"37","Ecuador",40966,5138,0.252126414412431,0.197477730875061,0.312413876826941,17643060,0.0023,0.0012,0.0049
"38","Egypt",29767,13981,0.270201429270023,0.211835780249134,0.338004569375785,102334403,0.001,0.00052,0.0021
"39","El Salvador",2781,1056,0.594867144258799,0.39875639797608,0.860059500696061,6486201,0.00055,0.00025,0.0014
"40","Equatorial Guinea",1306,403,0.859750309696849,0.560686057239766,0.999960827007839,1402985,0.00067,0.00037,0.0017
"41","Estonia",1890,83,0.337309961793889,0.197040604137188,0.534336374542903,1326539,0.00037,0.00015,0.0011
"42","Finland",6911,374,0.649385979307073,0.370259864494505,0.938099444573363,5540718,0.00021,0.000093,0.00061
"43","France",152444,7878,0.215958088902434,0.174710970519664,0.258991545901172,65273512,0.0011,0.00061,0.0023
"44","Gabon",2955,1227,0.940297212511918,0.763666128949936,0.999999584623018,2225728,0.0012,0.00072,0.0024
"45","Georgia",801,78,0.751429394309837,0.371530778524964,0.999000994601138,3989175,0.000052,0.000025,0.00018
